canonical_smiles,ic50_median,ic50_min,ic50_max,n_measurements,activity_mean,activity,pIC50,lipinski_pass,mw,logp,hbd,hba
Brc1cc(CNc2ccc3c(c2)CNC3)c2cc[nH]c2c1,99500.0,99500.0,99500.0,1,0.0,0,4.002176919254275,True,342.24000000000007,4.1457000000000015,3,2
Brc1ccc(-c2ncc(OCC3CCNCC3)nc2-c2ccc(Br)cc2)cc1,35000.0,35000.0,35000.0,1,0.0,0,4.455931955649724,False,503.2380000000001,5.714000000000005,1,4
Brc1cccc2cn(Cc3ncccn3)nc12,99500.0,99500.0,99500.0,1,0.0,0,4.002176919254275,True,289.136,2.6370999999999993,0,3
Brc1ccsc1CSc1cnn[nH]1,99500.0,99500.0,99500.0,1,0.0,0,4.002176919254275,True,276.18399999999997,2.9210000000000003,1,4
Brc1cnc(Sc2ncc[nH]2)nc1,99750.0,99500.0,100000.0,2,0.0,0,4.001087095641214,True,257.11600000000004,2.1133999999999995,1,4
Brc1cnn(C2CCN(Cc3csnn3)CC2)c1,99500.0,99500.0,99500.0,1,0.0,0,4.002176919254275,True,328.23900000000003,2.3342,0,5
Brc1csc(CNCCc2nnc[nH]2)c1,99750.0,99500.0,100000.0,2,0.0,0,4.001087095641214,True,287.1859999999999,1.9609999999999999,2,4
Brc1nc(Br)n(Cc2cscn2)n1,99500.0,99500.0,99500.0,1,0.0,0,4.002176919254275,True,324.001,2.3079,0,4
C#CCn1ccnc(N2CC[C@H](CO)C2)c1=O,99500.0,99500.0,99500.0,1,0.0,0,4.002176919254275,True,233.27099999999993,-0.30489999999999995,1,4
C#C[C@H](Nc1cc([C@H]2CCOC2)ccn1)c1cc(C2CC2)n(C)n1,99750.0,99500.0,100000.0,2,0.0,0,4.001087095641214,True,322.4120000000001,2.982800000000001,1,4
C#C[C@H](Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(=O)[nH]c12,99750.0,99500.0,100000.0,2,0.0,0,4.001087095641214,True,304.353,2.2458,4,3
C#C[C@H](Nc1ccc2c(c1)CNC2)c1cccc2c1CCNC2=O,99500.0,99500.0,99500.0,1,0.0,0,4.002176919254275,True,317.39200000000005,2.3621,3,3
C#C[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,9276.0,8347.0,10633.0,3,0.6666666666666666,1,5.03263926003405,False,458.90900000000016,5.055200000000003,3,6
C#C[C@H](Nc1cccc(C(=O)O)c1)c1cc(Cl)cc2[nH]ncc12,99750.0,99500.0,100000.0,2,0.0,0,4.001087095641214,True,325.755,3.7009000000000007,3,3
C#Cc1cc(CN)ccc1NS(=O)(=O)c1ccc(Oc2ccccc2Cl)cc1,99750.0,99500.0,100000.0,2,0.0,0,4.001087095641214,True,412.89800000000014,4.373100000000003,2,4
C#Cc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)CNC3)c1,99750.0,99500.0,100000.0,2,0.0,0,4.001087095641214,True,296.757,3.176800000000001,2,2
C#Cc1cc(NC(=O)OCc2ccccc2)cc(C(=O)Nc2cccc(CN)c2)c1,90871.0,81742.0,100000.0,2,0.0,0,4.041574692679381,True,399.45000000000016,4.127600000000001,3,4
C#Cc1ccnc(NC(=O)c2cc(C3CC3)n(C)c2C)c1,99750.0,99500.0,100000.0,2,0.0,0,4.001087095641214,True,279.34299999999996,2.839520000000001,1,2
C(#C[C@H](Nc1ccc2c(c1)CNC2)c1cccc2[nH]ncc12)c1ccccc1,99750.0,99500.0,100000.0,2,0.0,0,4.001087095641214,True,364.45200000000006,4.371000000000002,3,3
C1=C(c2cccnc2)CN(Cc2c[nH]c3ccccc23)CC1,99500.0,99500.0,99500.0,1,0.0,0,4.002176919254275,True,289.3820000000001,3.8522000000000025,1,2
C=C(C)c1cc(NC(=O)OCc2ccccc2)cc(C(=O)Nc2cccc(CN)c2)c1,75224.5,50449.0,100000.0,2,0.0,0,4.123640690234112,False,415.49300000000017,5.179400000000003,3,4
