molregno,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,full_mwt,alogp,hba,hbd,rtb,psa,assay_type,assay_description
334043,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)C(F)(F)F,Ki,850.0,nM,6.07,,727.83,-0.2,8.0,9.0,24.0,288.29,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
334022,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)B(O)O,Ki,43.0,nM,7.37,,703.65,,,,,,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
334040,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)[C@@H](C)O,Ki,500000.0,nM,,,620.75,-0.92,8.0,9.0,21.0,264.35,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
434048,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,Ki,42800.0,nM,4.37,,742.95,0.42,10.0,11.0,25.0,296.18,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
434095,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nc2ccccc2o1,Ki,82900.0,nM,4.08,,776.94,1.11,10.0,11.0,25.0,309.32,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
334077,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(O)C(=O)NCc1ccccc1,Ki,178000.0,nM,,,795.0,-0.66,9.0,11.0,27.0,320.55,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
434645,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)CCCNC(=N)N,Ki,5800.0,nM,5.24,,659.84,-0.72,8.0,11.0,24.0,283.29,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
334272,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@H](C=O)CCCN=C(N)N)[C@@H](C)O,Ki,500000.0,nM,,,604.75,-0.81,8.0,8.0,21.0,244.12,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
334231,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NS(=O)(=O)C(F)(F)F,Ki,500000.0,nM,,,806.91,-1.37,10.0,10.0,25.0,334.46,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
334230,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O,Ki,127500.0,nM,,,674.85,-1.85,8.0,10.0,24.0,314.31,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
334326,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)[C@@H](C)O,Ki,500000.0,nM,,,619.77,-1.52,8.0,9.0,21.0,270.14,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
334041,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,Ki,500000.0,nM,,,675.84,-0.83,8.0,12.0,24.0,303.52,B,Inhibitory activity against CF40.NS3pro from Dengue virus type 2
434645,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)CCCNC(=N)N,Ki,5800.0,nM,5.24,,659.84,-0.72,8.0,11.0,24.0,283.29,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334466,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)Cc1c[nH]c2ccccc12,Ki,7500.0,nM,5.12,,689.86,1.54,7.0,8.0,22.0,239.68,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334452,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)Cc1ccc(-c2ccccc2)cc1,Ki,11600.0,nM,4.94,,726.92,2.72,7.0,7.0,23.0,223.89,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334451,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)Cc1ccc(C)cc1,Ki,6000.0,nM,5.22,,664.85,1.36,7.0,7.0,22.0,223.89,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334422,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)Cc1ccc(C#N)cc1,Ki,18600.0,nM,4.73,,675.84,0.93,8.0,7.0,22.0,247.68,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334208,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)Cc1ccc(Cl)cc1,Ki,138000.0,nM,,,685.27,1.71,7.0,7.0,22.0,223.89,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
