confidence_level,target_coverage,empirical_coverage,n_total,n_singleton_active,n_singleton_inactive,n_ambiguous,n_empty,efficiency,n_conf_active,precision_conf_active,recall_conf_active,f1_conf_active,matched_baseline_prec,matched_baseline_rec,matched_baseline_f1,seed,tau_inactive,tau_active,baseline_prec,baseline_rec,baseline_f1
0.6,0.6,0.6182,592,44,340,0,208,0.6486,44,0.6136,0.6585,0.6353,0.6136,0.6585,0.6353,42,0.0313,0.6109,0.6562,0.5122,0.5753
0.65,0.65,0.6655,592,52,367,0,173,0.7078,52,0.5769,0.7317,0.6452,0.5769,0.7317,0.6452,42,0.04,0.6698,0.6562,0.5122,0.5753
0.7,0.7,0.7247,592,57,402,0,133,0.7753,57,0.5263,0.7317,0.6122,0.5263,0.7317,0.6122,42,0.0533,0.7145,0.6562,0.5122,0.5753
0.75,0.75,0.7584,592,82,417,0,93,0.8429,82,0.4268,0.8537,0.5691,0.4268,0.8537,0.5691,42,0.0608,0.8108,0.6562,0.5122,0.5753
0.8,0.8,0.8209,592,106,455,0,31,0.9476,106,0.3302,0.8537,0.4762,0.3302,0.8537,0.4762,42,0.0833,0.8738,0.6562,0.5122,0.5753
0.85,0.85,0.8615,592,109,480,0,3,0.9949,109,0.3211,0.8537,0.4667,0.3211,0.8537,0.4667,42,0.1138,0.8771,0.6562,0.5122,0.5753
0.9,0.9,0.9122,592,83,471,38,0,0.9358,83,0.4217,0.8537,0.5645,0.4217,0.8537,0.5645,42,0.1853,0.8985,0.6562,0.5122,0.5753
0.95,0.95,0.9645,592,49,257,286,0,0.5169,49,0.5918,0.7073,0.6444,0.5918,0.7073,0.6444,42,0.3468,0.9833,0.6562,0.5122,0.5753
0.6,0.6,0.5524,592,40,304,0,248,0.5811,40,0.575,0.561,0.5679,0.575,0.561,0.5679,7,0.0347,0.5448,0.6286,0.5366,0.5789
0.65,0.65,0.6047,592,42,335,0,215,0.6368,42,0.5476,0.561,0.5542,0.5476,0.561,0.5542,7,0.0445,0.5577,0.6286,0.5366,0.5789
0.7,0.7,0.6639,592,42,371,0,179,0.6976,42,0.5476,0.561,0.5542,0.5476,0.561,0.5542,7,0.06,0.5636,0.6286,0.5366,0.5789
0.75,0.75,0.728,592,43,409,0,140,0.7635,43,0.5349,0.561,0.5476,0.5349,0.561,0.5476,7,0.0733,0.5797,0.6286,0.5366,0.5789
0.8,0.8,0.7618,592,49,428,0,115,0.8057,49,0.4898,0.5854,0.5333,0.4898,0.5854,0.5333,7,0.0933,0.6338,0.6286,0.5366,0.5789
0.85,0.85,0.8243,592,50,467,0,75,0.8733,50,0.48,0.5854,0.5275,0.48,0.5854,0.5275,7,0.1467,0.6391,0.6286,0.5366,0.5789
0.9,0.9,0.8682,592,95,484,0,13,0.978,95,0.3579,0.8293,0.5,0.3579,0.8293,0.5,7,0.2067,0.771,0.6286,0.5366,0.5789
0.95,0.95,0.9409,592,64,382,146,0,0.7534,64,0.4688,0.7317,0.5714,0.4688,0.7317,0.5714,7,0.3068,0.9333,0.6286,0.5366,0.5789
0.6,0.6,0.5929,592,51,327,0,214,0.6385,51,0.5294,0.6585,0.587,0.5294,0.6585,0.587,13,0.0313,0.5703,0.5714,0.5854,0.5783
0.65,0.65,0.647,592,55,358,0,179,0.6976,55,0.5091,0.6829,0.5833,0.5091,0.6829,0.5833,13,0.04,0.621,0.5714,0.5854,0.5783
0.7,0.7,0.6807,592,55,378,0,159,0.7314,55,0.5091,0.6829,0.5833,0.5091,0.6829,0.5833,13,0.0467,0.6324,0.5714,0.5854,0.5783
0.75,0.75,0.7162,592,63,397,0,132,0.777,63,0.4762,0.7317,0.5769,0.4762,0.7317,0.5769,13,0.0567,0.6916,0.5714,0.5854,0.5783
0.8,0.8,0.7703,592,87,427,0,78,0.8682,87,0.3793,0.8049,0.5156,0.3793,0.8049,0.5156,13,0.08,0.8033,0.5714,0.5854,0.5783
0.85,0.85,0.8193,592,88,456,0,48,0.9189,88,0.375,0.8049,0.5116,0.375,0.8049,0.5116,13,0.1105,0.8106,0.5714,0.5854,0.5783
0.9,0.9,0.897,592,90,434,68,0,0.8851,90,0.3667,0.8049,0.5038,0.3667,0.8049,0.5038,13,0.1836,0.91,0.5714,0.5854,0.5783
0.95,0.95,0.9443,592,60,299,233,0,0.6064,60,0.5,0.7317,0.5941,0.5,0.7317,0.5941,13,0.3356,0.9733,0.5714,0.5854,0.5783
0.6,0.6,0.5912,592,57,319,0,216,0.6351,57,0.5614,0.7805,0.6531,0.5614,0.7805,0.6531,99,0.03,0.6494,0.6667,0.6829,0.6747
0.65,0.65,0.6402,592,66,344,0,182,0.6926,66,0.5455,0.878,0.6729,0.5455,0.878,0.6729,99,0.0367,0.6927,0.6667,0.6829,0.6747
0.7,0.7,0.7078,592,72,383,0,137,0.7686,72,0.5139,0.9024,0.6549,0.5139,0.9024,0.6549,99,0.05,0.7318,0.6667,0.6829,0.6747
0.75,0.75,0.7416,592,79,403,0,110,0.8142,79,0.4684,0.9024,0.6167,0.4684,0.9024,0.6167,99,0.06,0.764,0.6667,0.6829,0.6747
0.8,0.8,0.8091,592,82,444,0,66,0.8885,82,0.4512,0.9024,0.6016,0.4512,0.9024,0.6016,99,0.0806,0.7921,0.6667,0.6829,0.6747
0.85,0.85,0.8716,592,111,480,1,0,0.9983,111,0.3423,0.9268,0.5,0.3423,0.9268,0.5,99,0.1271,0.8762,0.6667,0.6829,0.6747
0.9,0.9,0.9206,592,83,432,77,0,0.8699,83,0.4458,0.9024,0.5968,0.4458,0.9024,0.5968,99,0.2037,0.9249,0.6667,0.6829,0.6747
0.95,0.95,0.9476,592,66,344,182,0,0.6926,66,0.5455,0.878,0.6729,0.5455,0.878,0.6729,99,0.3037,0.96,0.6667,0.6829,0.6747
0.6,0.6,0.6047,592,38,335,0,219,0.6301,38,0.6579,0.6098,0.6329,0.6579,0.6098,0.6329,2024,0.0367,0.5245,0.6579,0.6098,0.6329
