smiles,activity,docking_score,ml_prob
Brc1cc(CNc2ccc3c(c2)CNC3)c2cc[nH]c2c1,0,-6.982,0.043333333333333335
Brc1ccc(-c2ncc(OCC3CCNCC3)nc2-c2ccc(Br)cc2)cc1,0,-6.972,0.26666666666666666
Brc1cccc2cn(Cc3ncccn3)nc12,0,-5.595,0.043333333333333335
Brc1ccsc1CSc1cnn[nH]1,0,-4.081,0.03333333333333333
Brc1cnc(Sc2ncc[nH]2)nc1,0,-4.447,0.023333333333333334
Brc1cnn(C2CCN(Cc3csnn3)CC2)c1,0,-4.544,0.006666666666666667
Brc1csc(CNCCc2nnc[nH]2)c1,0,-4.901,0.016666666666666666
Brc1nc(Br)n(Cc2cscn2)n1,0,-3.747,0.03666666666666667
C#CCn1ccnc(N2CC[C@H](CO)C2)c1=O,0,-5.369,0.01
C#C[C@H](Nc1cc([C@H]2CCOC2)ccn1)c1cc(C2CC2)n(C)n1,0,-6.329,0.0
C#C[C@H](Nc1ccc2c(c1)CNC2)c1cccc2[nH]c(=O)[nH]c12,0,-7.627,0.01
C#C[C@H](Nc1ccc2c(c1)CNC2)c1cccc2c1CCNC2=O,0,-6.845,0.02
C#C[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,1,-7.589,1.0
C#C[C@H](Nc1cccc(C(=O)O)c1)c1cc(Cl)cc2[nH]ncc12,0,-6.591,0.02666666666666667
C#Cc1cc(CN)ccc1NS(=O)(=O)c1ccc(Oc2ccccc2Cl)cc1,0,-6.581,0.023333333333333334
C#Cc1cc(Cl)cc(C(=O)Nc2ccc3c(c2)CNC3)c1,0,-6.936,0.0033333333333333335
C#Cc1cc(NC(=O)OCc2ccccc2)cc(C(=O)Nc2cccc(CN)c2)c1,0,-7.26,0.02666666666666667
C#Cc1ccnc(NC(=O)c2cc(C3CC3)n(C)c2C)c1,0,-6.309,0.02
C(#C[C@H](Nc1ccc2c(c1)CNC2)c1cccc2[nH]ncc12)c1ccccc1,0,-7.483,0.15
C1=C(c2cccnc2)CN(Cc2c[nH]c3ccccc23)CC1,0,-6.674,0.01
C=C(C)c1cc(NC(=O)OCc2ccccc2)cc(C(=O)Nc2cccc(CN)c2)c1,0,-7.836,0.016666666666666666
C=C(C)c1ccc(Cl)cc1[C@H](Nc1ccc2c(c1)CNC2)C(=O)NCC(F)F,0,-6.7,0.0
C=C(C)c1cccc([C@@H](NC(=O)OCc2ccccc2)C(=O)Nc2cccc(CN)c2)c1,0,-7.218,0.03305555555555556
C=C1C[C@H](c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)[C@@H](c2cccc(-c3nn[nH]n3)c2)C1,1,-8.539,1.0
C=C1C[C@H](c2cccc(CN)c2)[C@@H](c2cc(Cl)cc(NC(=O)OCc3ccccc3)c2)C1,0,-7.789,0.019444444444444445
C=CCNC(=O)C1(NC(=O)c2cccc3c2CC(=O)N3)CCCCC1,0,-6.806,0.02
C=CC[C@H](Nc1cc(CN)ccn1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,0,-6.742,0.01
C=CC[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1ccc(-c2nn[nH]n2)cc1,1,-7.809,1.0
C=CC[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(-c2nn[nH]n2)c1,1,-7.223,1.0
C=CC[C@H](Nc1cc(Cl)cc(NC(=O)OCc2ccccc2)c1)c1cccc(CN)c1,0,-7.438,0.03
C=CC[C@H](Nc1cc([C@H]2CCOC2)ccn1)c1cc(C2CC2)n(C)n1,0,-6.237,0.013333333333333334
C=CC[C@H](Nc1ccc(-c2nn[nH]n2)cc1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,1,-7.525,1.0
C=CC[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]ncc12,0,-6.406,0.0
C=CC[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,1,-7.45,1.0
C=CC[C@H](Nc1cccc(-c2nn[nH]n2)c1)c1cc(Cl)cc2[nH]ncc12,0,-6.578,0.05
C=CC[C@H](Nc1cccc(C(=O)O)c1)c1cc(Cl)cc2[nH]ncc12,0,-6.789,0.04
C=CC[C@H](Nc1cccc(C2(C(=O)O)CCC2)c1)c1cc(Cl)cc(NC(=O)OCc2ccccc2)c1,0,-7.28,0.11
