Fingerprint,Model,AUC_ROC,AUC_ROC_std,AUC_PR,MCC,_fp_key,Rank
RDKit2D,Random Forest,0.9487,0.0071,0.6515,0.5811,rdkit,1
RDKit2D,XGBoost,0.946,0.0085,0.6667,0.5921,rdkit,2
RDKit2D,LightGBM,0.9449,0.0109,0.6683,0.5718,rdkit,3
AtomPair,XGBoost,0.9389,0.017,0.6415,0.5895,atompair,4
AtomPair,LightGBM,0.9367,0.02,0.6455,0.5518,atompair,5
AtomPair,Random Forest,0.9364,0.0141,0.6266,0.5691,atompair,6
RDKit2D,SVM,0.9354,0.0161,0.6058,0.5568,rdkit,7
AtomPair,SVM,0.93,0.0198,0.5904,0.5426,atompair,8
ECFP4,Random Forest,0.9267,0.0276,0.629,0.598,ecfp4,9
ECFP4,XGBoost,0.9262,0.0202,0.612,0.5742,ecfp4,10
MACCS,SVM,0.9234,0.0132,0.549,0.5284,maccs,11
MACCS,XGBoost,0.9219,0.0107,0.6184,0.5625,maccs,12
RDKit2D,MLP (Neural Net),0.9202,0.021,0.5858,0.5623,rdkit,13
MACCS,Random Forest,0.9196,0.0229,0.5908,0.5623,maccs,14
MACCS,LightGBM,0.9191,0.0189,0.6206,0.5535,maccs,15
AtomPair,MLP (Neural Net),0.9173,0.0164,0.5381,0.5204,atompair,16
ECFP4,SVM,0.9108,0.0232,0.6131,0.5553,ecfp4,17
ECFP4,LightGBM,0.9103,0.0275,0.6057,0.5701,ecfp4,18
MACCS,MLP (Neural Net),0.9062,0.0137,0.5243,0.479,maccs,19
ECFP4,MLP (Neural Net),0.8737,0.0391,0.56,0.4849,ecfp4,20
