descriptor,mean_abs_shap
qed,0.025071550198359202
FpDensityMorgan1,0.021507484472192747
FpDensityMorgan2,0.020311571885180776
SMR_VSA9,0.0184699865616608
SlogP_VSA8,0.016517201262793924
VSA_EState3,0.0156258055890844
FpDensityMorgan3,0.014431669228658567
BertzCT,0.014355051254106212
HallKierAlpha,0.011871434252036923
PEOE_VSA8,0.009368194421337055
TPSA,0.00935718301645811
SlogP_VSA3,0.008182806676057724
Chi1,0.007778283710747117
NumAromaticRings,0.0074692223682600945
MolLogP,0.007432615429455202
SPS,0.007252442027259429
MinPartialCharge,0.0072445225177193906
FractionCSP3,0.007221789224296707
BCUT2D_CHGHI,0.006343264235057976
Chi0,0.006065542618792016
MolMR,0.005973147391992183
SlogP_VSA6,0.005943899469580654
EState_VSA10,0.005517389461072722
fr_benzene,0.0053700366635008245
BCUT2D_LOGPLOW,0.005270882380314246
PEOE_VSA2,0.005174962091499735
HeavyAtomMolWt,0.005074183729271315
BCUT2D_LOGPHI,0.005034413211014412
Chi4v,0.005029376696167082
NumValenceElectrons,0.004739353364160845
SMR_VSA5,0.0046233596155927465
NumHDonors,0.004480241789181744
VSA_EState5,0.004441890909119675
MolWt,0.004429280561722873
MaxAbsPartialCharge,0.0044093378303601246
Chi3v,0.004372001101933054
LabuteASA,0.00435266855324423
VSA_EState4,0.004187135605510095
VSA_EState6,0.004114672732746688
VSA_EState2,0.004102433025445021
BCUT2D_CHGLO,0.004028439790711993
HeavyAtomCount,0.003950183013626395
NumAliphaticRings,0.0038428650662144063
BCUT2D_MWLOW,0.0037230791603287557
Chi0v,0.0036385142560133796
SMR_VSA10,0.0035654855732492534
NHOHCount,0.003514061251327353
Phi,0.003501929964297751
BalabanJ,0.0034891171729983517
NumAromaticCarbocycles,0.003429838508115427
SMR_VSA7,0.003424853914077041
BCUT2D_MRLOW,0.003352519181744272
fr_phenol_noOrthoHbond,0.003271138319715723
Chi1v,0.003263985359017361
Kappa2,0.003262085548973738
MinAbsEStateIndex,0.003201842003409978
SMR_VSA3,0.0031322524989278624
ExactMolWt,0.0031029511584993825
SlogP_VSA2,0.003097608416012522
MaxAbsEStateIndex,0.0030410403850330866
EState_VSA4,0.0029879043044771236
MinEStateIndex,0.0029844410793815725
Chi0n,0.002967855108699289
SlogP_VSA1,0.0029584424967447126
EState_VSA8,0.0029505205617867953
Kappa1,0.0029228710446421212
EState_VSA3,0.002892450982055026
Chi2n,0.0028835059727085146
Chi3n,0.002798094320734794
VSA_EState7,0.002795168658435975
VSA_EState8,0.0027777918971011004
Chi2v,0.0027661586555625
PEOE_VSA1,0.0027076327291689927
SlogP_VSA11,0.0026475604625506586
SMR_VSA6,0.002638060476961846
